야	ᄋ ᅣ
민스타그램으로	ᄆ ᅵ ᆫ ᄉ ᅳ ᄐ ᅡ ᄀ ᅳ ᄅ ᅢ ᄆ ᅳ ᄅ ᅩ
트렌드라는	ᄐ ᅳ ᄅ ᅦ ᆫ ᄃ ᅳ ᄅ ᅡ ᄂ ᅳ ᆫ
젊게도	ᄌ ᅥ ᆷ ᄁ ᅦ ᄃ ᅩ
사시네	ᄉ ᅡ ᄉ ᅵ ᄂ ᅦ
탈려고	ᄐ ᅡ ᆯ ᄅ ᅧ ᄀ ᅩ
타이밍	ᄐ ᅡ ᄋ ᅵ ᄆ ᅵ ᆼ
벨트도	ᄇ ᅦ ᆯ ᄐ ᅳ ᄃ ᅩ
갈고	ᄀ ᅡ ᆯ ᄀ ᅩ
엔진	ᄋ ᅦ ᆫ ᄌ ᅵ ᆫ
오일도	ᄋ ᅩ ᄋ ᅵ ᆯ ᄃ ᅩ
개월마다	ᄀ ᅢ ᄋ ᅯ ᆯ ᄆ ᅡ ᄃ ᅡ
갈아줬는데	ᄀ ᅡ ᄅ ᅡ ᄌ ᅯ ᆫ ᄂ ᅳ ᆫ ᄃ ᅦ
디젤	ᄃ ᅵ ᄌ ᅦ ᆯ
연비가	ᄋ ᅧ ᆫ ᄇ ᅵ ᄀ ᅡ
경유	ᄀ ᅧ ᆼ ᄋ ᅲ
싸니까	ᄊ ᅡ ᄂ ᅵ ᄁ ᅡ
유지비가	ᄋ ᅲ ᄌ ᅵ ᄇ ᅵ ᄀ ᅡ
들어간다고	ᄃ ᅳ ᄅ ᅥ ᄀ ᅡ ᆫ ᄃ ᅡ ᄀ ᅩ
생각하기	ᄉ ᅢ ᆼ ᄀ ᅡ ᄏ ᅡ ᄀ ᅵ
쉬운데	ᄉ ᅱ ᄋ ᅮ ᆫ ᄃ ᅦ
시내	ᄉ ᅵ ᄂ ᅢ
주행	ᄌ ᅮ ᄒ ᅢ ᆼ
위주면	ᄋ ᅱ ᄌ ᅮ ᄆ ᅧ ᆫ
꽝이야	ᄁ ᅪ ᆼ ᄋ ᅵ ᄋ ᅣ
장거리를	ᄌ ᅡ ᆼ ᄀ ᅥ ᄅ ᅵ ᄅ ᅳ ᆯ
달려줘야	ᄃ ᅡ ᆯ ᄅ ᅧ ᄌ ᅯ ᄋ ᅣ
흡기	ᄒ ᅳ ᆸ ᄁ ᅵ
타야	ᄐ ᅡ ᄋ ᅣ
이천만	ᄋ ᅵ ᄎ ᅥ ᆫ ᄆ ᅡ ᆫ
꼴이니까	ᄁ ᅩ ᄅ ᅵ ᄂ ᅵ ᄁ ᅡ
기름값	ᄀ ᅵ ᄅ ᅳ ᆷ ᄀ ᅡ ᆸ
유지비를	ᄋ ᅲ ᄌ ᅵ ᄇ ᅵ ᄅ ᅳ ᆯ
유지한다는	ᄋ ᅲ ᄌ ᅵ ᄒ ᅡ ᆫ ᄃ ᅡ ᄂ ᅳ ᆫ
삼천은	ᄉ ᅡ ᆷ ᄎ ᅥ ᄂ ᅳ ᆫ
중형차	ᄌ ᅮ ᆼ ᄒ ᅧ ᆼ ᄎ ᅡ
옵션	ᄋ ᅩ ᆸ ᄊ ᅧ ᆫ
탈만	ᄐ ᅡ ᆯ ᄆ ᅡ ᆫ
흉보잖아	ᄒ ᅲ ᆼ ᄇ ᅩ ᄌ ᅡ ᄂ ᅡ
후보군으로	ᄒ ᅮ ᄇ ᅩ ᄀ ᅮ ᄂ ᅳ ᄅ ᅩ
좁혀졌어	ᄌ ᅩ ᄑ ᅧ ᄌ ᅥ ᄊ ᅥ
선택하는	ᄉ ᅥ ᆫ ᄐ ᅢ ᄏ ᅡ ᄂ ᅳ ᆫ
외제차야	ᄋ ᅬ ᄌ ᅦ ᄎ ᅡ ᄋ ᅣ
중형	ᄌ ᅮ ᆼ ᄒ ᅧ ᆼ
세단인데	ᄉ ᅦ ᄃ ᅡ ᄂ ᅵ ᆫ ᄃ ᅦ
휘발유차고	ᄒ ᅱ ᄇ ᅡ ᆯ ᄅ ᅲ ᄎ ᅡ ᄀ ᅩ
묵직한	ᄆ ᅮ ᆨ ᄍ ᅵ ᄏ ᅡ ᆫ
바디에	ᄇ ᅡ ᄃ ᅵ ᄋ ᅦ
반자동	ᄇ ᅡ ᆫ ᄌ ᅡ ᄃ ᅩ ᆼ
주행도	ᄌ ᅮ ᄒ ᅢ ᆼ ᄃ ᅩ
칠천	ᄎ ᅵ ᆯ ᄎ ᅥ ᆫ
칠천만	ᄎ ᅵ ᆯ ᄎ ᅥ ᆫ ᄆ ᅡ ᆫ
국산	ᄀ ᅮ ᆨ ᄊ ᅡ ᆫ
에스유브이야	ᄋ ᅦ ᄉ ᅳ ᄋ ᅲ ᄇ ᅳ ᄋ ᅵ ᄋ ᅣ
차체가	ᄎ ᅡ ᄎ ᅦ ᄀ ᅡ
옵션이랑	ᄋ ᅩ ᆸ ᄊ ᅧ ᄂ ᅵ ᄅ ᅡ ᆼ
외제차	ᄋ ᅬ ᄌ ᅦ ᄎ ᅡ
에스유브이	ᄋ ᅦ ᄉ ᅳ ᄋ ᅲ ᄇ ᅳ ᄋ ᅵ
살려면	ᄉ ᅡ ᆯ ᄅ ᅧ ᄆ ᅧ ᆫ
일억은	ᄋ ᅵ ᄅ ᅥ ᄀ ᅳ ᆫ
옵션을	ᄋ ᅩ ᆸ ᄊ ᅧ ᄂ ᅳ ᆯ
넣어도	ᄂ ᅥ ᄋ ᅥ ᄃ ᅩ
사천오백	ᄉ ᅡ ᄎ ᅥ ᄂ ᅩ ᄇ ᅢ ᆨ
들었더니	ᄃ ᅳ ᄅ ᅥ ᆮ ᄄ ᅥ ᄂ ᅵ
오백은	ᄋ ᅩ ᄇ ᅢ ᄀ ᅳ ᆫ
사야겠지	ᄉ ᅡ ᄋ ᅣ ᄀ ᅦ ᆮ ᄍ ᅵ
국산차가	ᄀ ᅮ ᆨ ᄊ ᅡ ᆫ ᄎ ᅡ ᄀ ᅡ
유지비도	ᄋ ᅲ ᄌ ᅵ ᄇ ᅵ ᄃ ᅩ
영맨한테	ᄋ ᅧ ᆼ ᄆ ᅢ ᆫ ᄒ ᅡ ᆫ ᄐ ᅦ
전화해야겠다	ᄌ ᅥ ᆫ ᄒ ᅪ ᄒ ᅢ ᄋ ᅣ ᄀ ᅦ ᆮ ᄄ ᅡ
사원한테	ᄉ ᅡ ᄋ ᅯ ᆫ ᄒ ᅡ ᆫ ᄐ ᅦ
골라놓고	ᄀ ᅩ ᆯ ᄅ ᅡ ᄂ ᅩ ᄏ ᅩ
나대	ᄂ ᅡ ᄃ ᅢ
대기	ᄃ ᅢ ᄀ ᅵ
공장에서	ᄀ ᅩ ᆼ ᄌ ᅡ ᆼ ᄋ ᅦ ᄉ ᅥ
찍어내는	ᄍ ᅵ ᄀ ᅥ ᄂ ᅢ ᄂ ᅳ ᆫ
더군다나	ᄃ ᅥ ᄀ ᅮ ᆫ ᄃ ᅡ ᄂ ᅡ
해외에서	ᄒ ᅢ ᄋ ᅬ ᄋ ᅦ ᄉ ᅥ
대기야	ᄃ ᅢ ᄀ ᅵ ᄋ ᅣ
성능이	ᄉ ᅥ ᆼ ᄂ ᅳ ᆼ ᄋ ᅵ
주문량이	ᄌ ᅮ ᄆ ᅮ ᆯ ᄅ ᅣ ᆼ ᄋ ᅵ
엄청나대	ᄋ ᅥ ᆷ ᄎ ᅥ ᆼ ᄂ ᅡ ᄃ ᅢ
차인가	ᄎ ᅡ ᄋ ᅵ ᆫ ᄀ ᅡ
생각보다는	ᄉ ᅢ ᆼ ᄀ ᅡ ᆨ ᄈ ᅩ ᄃ ᅡ ᄂ ᅳ ᆫ
기다리네	ᄀ ᅵ ᄃ ᅡ ᄅ ᅵ ᄂ ᅦ
기다렸다더라	ᄀ ᅵ ᄃ ᅡ ᄅ ᅧ ᆮ ᄄ ᅡ ᄃ ᅥ ᄅ ᅡ
나오기만을	ᄂ ᅡ ᄋ ᅩ ᄀ ᅵ ᄆ ᅡ ᄂ ᅳ ᆯ
궁금해진다	ᄀ ᅮ ᆼ ᄀ ᅳ ᆷ ᄒ ᅢ ᄌ ᅵ ᆫ ᄃ ᅡ
태워줄게	ᄐ ᅢ ᄋ ᅯ ᄌ ᅮ ᆯ ᄀ ᅦ
고사도	ᄀ ᅩ ᄉ ᅡ ᄃ ᅩ
바퀴에	ᄇ ᅡ ᄏ ᅱ ᄋ ᅦ
막걸리도	ᄆ ᅡ ᆨ ᄁ ᅥ ᆯ ᄅ ᅵ ᄃ ᅩ
부어야지	ᄇ ᅮ ᄋ ᅥ ᄋ ᅣ ᄌ ᅵ
막걸리를	ᄆ ᅡ ᆨ ᄁ ᅥ ᆯ ᄅ ᅵ ᄅ ᅳ ᆯ
붓자	ᄇ ᅮ ᆮ ᄍ ᅡ
빨래한	ᄈ ᅡ ᆯ ᄅ ᅢ ᄒ ᅡ ᆫ
입어도	ᄋ ᅵ ᄇ ᅥ ᄃ ᅩ
간지럽다고	ᄀ ᅡ ᆫ ᄌ ᅵ ᄅ ᅥ ᆸ ᄄ ᅡ ᄀ ᅩ
간질	ᄀ ᅡ ᆫ ᄌ ᅵ ᆯ
하달까	ᄒ ᅡ ᄃ ᅡ ᆯ ᄁ ᅡ
세제	ᄉ ᅦ ᄌ ᅦ
때문일	ᄄ ᅢ ᄆ ᅮ ᄂ ᅵ ᆯ
세제는	ᄉ ᅦ ᄌ ᅦ ᄂ ᅳ ᆫ
가려울	ᄀ ᅡ ᄅ ᅧ ᄋ ᅮ ᆯ
섬유	ᄉ ᅥ ᄆ ᅲ
유연제도	ᄋ ᅲ ᄋ ᅧ ᆫ ᄌ ᅦ ᄃ ᅩ
쓰니	ᄊ ᅳ ᄂ ᅵ
빨면	ᄈ ᅡ ᆯ ᄆ ᅧ ᆫ
가려웠나	ᄀ ᅡ ᄅ ᅧ ᄋ ᅯ ᆫ ᄂ ᅡ
빤	ᄈ ᅡ ᆫ
입었는데	ᄋ ᅵ ᄇ ᅥ ᆫ ᄂ ᅳ ᆫ ᄃ ᅦ
괜찮았거든	ᄀ ᅫ ᆫ ᄎ ᅡ ᄂ ᅡ ᆮ ᄁ ᅥ ᄃ ᅳ ᆫ
가려울까	ᄀ ᅡ ᄅ ᅧ ᄋ ᅮ ᆯ ᄁ ᅡ
체질이	ᄎ ᅦ ᄌ ᅵ ᄅ ᅵ
바뀌었을	ᄇ ᅡ ᄁ ᅱ ᄋ ᅥ ᄊ ᅳ ᆯ
약해졌을	ᄋ ᅣ ᄏ ᅢ ᄌ ᅥ ᄊ ᅳ ᆯ
서러운데	ᄉ ᅥ ᄅ ᅥ ᄋ ᅮ ᆫ ᄃ ᅦ
피부까지	ᄑ ᅵ ᄇ ᅮ ᄁ ᅡ ᄌ ᅵ
말썽이네	ᄆ ᅡ ᆯ ᄊ ᅥ ᆼ ᄋ ᅵ ᄂ ᅦ
아토피도	ᄋ ᅡ ᄐ ᅩ ᄑ ᅵ ᄃ ᅩ
문제더라	ᄆ ᅮ ᆫ ᄌ ᅦ ᄃ ᅥ ᄅ ᅡ
할라치면	ᄒ ᅡ ᆯ ᄅ ᅡ ᄎ ᅵ ᄆ ᅧ ᆫ
잡아먹어서	ᄌ ᅡ ᄇ ᅡ ᄆ ᅥ ᄀ ᅥ ᄉ ᅥ
안달이라니까	ᄋ ᅡ ᆫ ᄃ ᅡ ᄅ ᅵ ᄅ ᅡ ᄂ ᅵ ᄁ ᅡ
크면서	ᄏ ᅳ ᄆ ᅧ ᆫ ᄉ ᅥ
쉬었잖아	ᄉ ᅱ ᄋ ᅥ ᆮ ᄍ ᅡ ᄂ ᅡ
싸울려면	ᄊ ᅡ ᄋ ᅮ ᆯ ᄅ ᅧ ᄆ ᅧ ᆫ
보란	ᄇ ᅩ ᄅ ᅡ ᆫ
욱해가지고	ᄋ ᅮ ᄏ ᅢ ᄀ ᅡ ᄌ ᅵ ᄀ ᅩ
들어가라고	ᄃ ᅳ ᄅ ᅥ ᄀ ᅡ ᄅ ᅡ ᄀ ᅩ
욱해서	ᄋ ᅮ ᄏ ᅢ ᄉ ᅥ
크라고	ᄏ ᅳ ᄅ ᅡ ᄀ ᅩ
혼내는	ᄒ ᅩ ᆫ ᄂ ᅢ ᄂ ᅳ ᆫ
매라는	ᄆ ᅢ ᄅ ᅡ ᄂ ᅳ ᆫ
가르치려면	ᄀ ᅡ ᄅ ᅳ ᄎ ᅵ ᄅ ᅧ ᄆ ᅧ ᆫ
잃으면	ᄋ ᅵ ᄅ ᅳ ᄆ ᅧ ᆫ
수틀리면	ᄉ ᅮ ᄐ ᅳ ᆯ ᄅ ᅵ ᄆ ᅧ ᆫ
성질이	ᄉ ᅥ ᆼ ᄌ ᅵ ᄅ ᅵ
올라오나보다	ᄋ ᅩ ᆯ ᄅ ᅡ ᄋ ᅩ ᄂ ᅡ ᄇ ᅩ ᄃ ᅡ
그러시는	ᄀ ᅳ ᄅ ᅥ ᄉ ᅵ ᄂ ᅳ ᆫ
막히고	ᄆ ᅡ ᄏ ᅵ ᄀ ᅩ
바꿔볼	ᄇ ᅡ ᄁ ᅯ ᄇ ᅩ ᆯ
가장이	ᄀ ᅡ ᄌ ᅡ ᆼ ᄋ ᅵ
마음처럼	ᄆ ᅡ ᄋ ᅳ ᆷ ᄎ ᅥ ᄅ ᅥ ᆷ
멀어진다	ᄆ ᅥ ᄅ ᅥ ᄌ ᅵ ᆫ ᄃ ᅡ
나왔으니까	ᄂ ᅡ ᄋ ᅪ ᄊ ᅳ ᄂ ᅵ ᄁ ᅡ
모임에	ᄆ ᅩ ᄋ ᅵ ᄆ ᅦ
취해가지고	ᄎ ᅱ ᄒ ᅢ ᄀ ᅡ ᄌ ᅵ ᄀ ᅩ
치다가	ᄎ ᅵ ᄃ ᅡ ᄀ ᅡ
말리니까	ᄆ ᅡ ᆯ ᄅ ᅵ ᄂ ᅵ ᄁ ᅡ
냈잖아	ᄂ ᅢ ᆮ ᄍ ᅡ ᄂ ᅡ
고질병이야	ᄀ ᅩ ᄌ ᅵ ᆯ ᄇ ᅧ ᆼ ᄋ ᅵ ᄋ ᅣ
인정할	ᄋ ᅵ ᆫ ᄌ ᅥ ᆼ ᄒ ᅡ ᆯ
인정하고	ᄋ ᅵ ᆫ ᄌ ᅥ ᆼ ᄒ ᅡ ᄀ ᅩ
축하하자는	ᄎ ᅮ ᄏ ᅡ ᄒ ᅡ ᄌ ᅡ ᄂ ᅳ ᆫ
의미로	ᄋ ᅴ ᄆ ᅵ ᄅ ᅩ
동생이랑	ᄃ ᅩ ᆼ ᄉ ᅢ ᆼ ᄋ ᅵ ᄅ ᅡ ᆼ
화났대	ᄒ ᅪ ᄂ ᅡ ᆮ ᄄ ᅢ
카페들은	ᄏ ᅡ ᄑ ᅦ ᄃ ᅳ ᄅ ᅳ ᆫ
미영이네	ᄆ ᅵ ᄋ ᅧ ᆼ ᄋ ᅵ ᄂ ᅦ
동네는	ᄃ ᅩ ᆼ ᄂ ᅦ ᄂ ᅳ ᆫ
동네라	ᄃ ᅩ ᆼ ᄂ ᅦ ᄅ ᅡ
원가는	ᄋ ᅯ ᆫ ᄀ ᅡ ᄂ ᅳ ᆫ
원가로	ᄋ ᅯ ᆫ ᄀ ᅡ ᄅ ᅩ
요소를	ᄋ ᅭ ᄉ ᅩ ᄅ ᅳ ᆯ
고려해	ᄀ ᅩ ᄅ ᅧ ᄒ ᅢ
잔이	ᄌ ᅡ ᄂ ᅵ
밥값	ᄇ ᅡ ᆸ ᄁ ᅡ ᆸ
시대지	ᄉ ᅵ ᄃ ᅢ ᄌ ᅵ
발렛비	ᄇ ᅡ ᆯ ᄅ ᅦ ᆮ ᄈ ᅵ
마셨다니까	ᄆ ᅡ ᄉ ᅧ ᆮ ᄄ ᅡ ᄂ ᅵ ᄁ ᅡ
발렛비만	ᄇ ᅡ ᆯ ᄅ ᅦ ᆮ ᄈ ᅵ ᄆ ᅡ ᆫ
난다니	ᄂ ᅡ ᆫ ᄃ ᅡ ᄂ ᅵ
업체들	ᄋ ᅥ ᆸ ᄎ ᅦ ᄃ ᅳ ᆯ
깡패들도	ᄁ ᅡ ᆼ ᄑ ᅢ ᄃ ᅳ ᆯ ᄃ ᅩ
발렛	ᄇ ᅡ ᆯ ᄅ ᅦ ᆮ
파킹도	ᄑ ᅡ ᄏ ᅵ ᆼ ᄃ ᅩ
하나의	ᄒ ᅡ ᄂ ᅡ ᄋ ᅴ
사업이	ᄉ ᅡ ᄋ ᅥ ᄇ ᅵ
파킹	ᄑ ᅡ ᄏ ᅵ ᆼ
주차장에	ᄌ ᅮ ᄎ ᅡ ᄌ ᅡ ᆼ ᄋ ᅦ
넣으면서	ᄂ ᅥ ᄋ ᅳ ᄆ ᅧ ᆫ ᄉ ᅥ
뺏어가고	ᄈ ᅢ ᄉ ᅥ ᄀ ᅡ ᄀ ᅩ
강도들이야	ᄀ ᅡ ᆼ ᄃ ᅩ ᄃ ᅳ ᄅ ᅵ ᄋ ᅣ
골목에선	ᄀ ᅩ ᆯ ᄆ ᅩ ᄀ ᅦ ᄉ ᅥ ᆫ
맡기는	ᄆ ᅡ ᆮ ᄁ ᅵ ᄂ ᅳ ᆫ
속편해	ᄉ ᅩ ᆨ ᄑ ᅧ ᆫ ᄒ ᅢ
석호	ᄉ ᅥ ᄏ ᅩ
끓여달라고	ᄁ ᅳ ᄅ ᅧ ᄃ ᅡ ᆯ ᄅ ᅡ ᄀ ᅩ
장례식에	ᄌ ᅡ ᆼ ᄂ ᅨ ᄉ ᅵ ᄀ ᅦ
심장마비였다고	ᄉ ᅵ ᆷ ᄌ ᅡ ᆼ ᄆ ᅡ ᄇ ᅵ ᄋ ᅧ ᆮ ᄄ ᅡ ᄀ ᅩ
과로사래	ᄀ ᅪ ᄅ ᅩ ᄉ ᅡ ᄅ ᅢ
가족들은	ᄀ ᅡ ᄌ ᅩ ᆨ ᄄ ᅳ ᄅ ᅳ ᆫ
어쩐다니	ᄋ ᅥ ᄍ ᅥ ᆫ ᄄ ᅡ ᄂ ᅵ
상주로	ᄉ ᅡ ᆼ ᄌ ᅮ ᄅ ᅩ
몰려다닐	ᄆ ᅩ ᆯ ᄅ ᅧ ᄃ ᅡ ᄂ ᅵ ᆯ
상무도	ᄉ ᅡ ᆼ ᄆ ᅮ ᄃ ᅩ
암이라고	ᄋ ᅡ ᄆ ᅵ ᄅ ᅡ ᄀ ᅩ
좋다니	ᄌ ᅩ ᄐ ᅡ ᄂ ᅵ
고혈압이랑	ᄀ ᅩ ᄒ ᅧ ᄅ ᅡ ᄇ ᅵ ᄅ ᅡ ᆼ
간수치	ᄀ ᅡ ᆫ ᄉ ᅮ ᄎ ᅵ
정상이었는데	ᄌ ᅥ ᆼ ᄉ ᅡ ᆼ ᄋ ᅵ ᄋ ᅥ ᆫ ᄂ ᅳ ᆫ ᄃ ᅦ
줄이고	ᄌ ᅮ ᄅ ᅵ ᄀ ᅩ
담배도	ᄃ ᅡ ᆷ ᄇ ᅢ ᄃ ᅩ
미영이	ᄆ ᅵ ᄋ ᅧ ᆼ ᄋ ᅵ
시작했대	ᄉ ᅵ ᄌ ᅡ ᄏ ᅢ ᆮ ᄄ ᅢ
미영이가	ᄆ ᅵ ᄋ ᅧ ᆼ ᄋ ᅵ ᄀ ᅡ
외곽으로	ᄋ ᅬ ᄀ ᅪ ᄀ ᅳ ᄅ ᅩ
강가	ᄀ ᅡ ᆼ ᄁ ᅡ
지어서	ᄌ ᅵ ᄋ ᅥ ᄉ ᅥ
저택	ᄌ ᅥ ᄐ ᅢ ᆨ
지었다고	ᄌ ᅵ ᄋ ᅥ ᆮ ᄄ ᅡ ᄀ ᅩ
재혼하신	ᄌ ᅢ ᄒ ᅩ ᆫ ᄒ ᅡ ᄉ ᅵ ᆫ
고생하더니	ᄀ ᅩ ᄉ ᅢ ᆼ ᄒ ᅡ ᄃ ᅥ ᄂ ᅵ
재혼해서	ᄌ ᅢ ᄒ ᅩ ᆫ ᄒ ᅢ ᄉ ᅥ
살더라고	ᄉ ᅡ ᆯ ᄃ ᅥ ᄅ ᅡ ᄀ ᅩ
차렸는데	ᄎ ᅡ ᄅ ᅧ ᆫ ᄂ ᅳ ᆫ ᄃ ᅦ
대박이	ᄃ ᅢ ᄇ ᅡ ᄀ ᅵ
자리래	ᄌ ᅡ ᄅ ᅵ ᄅ ᅢ
강변	ᄀ ᅡ ᆼ ᄇ ᅧ ᆫ
너머까지	ᄂ ᅥ ᄆ ᅥ ᄁ ᅡ ᄌ ᅵ
통유리로	ᄐ ᅩ ᆼ ᄋ ᅲ ᄅ ᅵ ᄅ ᅩ
카페라서	ᄏ ᅡ ᄑ ᅦ ᄅ ᅡ ᄉ ᅥ
찍으러	ᄍ ᅵ ᄀ ᅳ ᄅ ᅥ
오나	ᄋ ᅩ ᄂ ᅡ
몰리니까	ᄆ ᅩ ᆯ ᄅ ᅵ ᄂ ᅵ ᄁ ᅡ
근처면	ᄀ ᅳ ᆫ ᄎ ᅥ ᄆ ᅧ ᆫ
나들이	ᄂ ᅡ ᄃ ᅳ ᄅ ᅵ
기분에	ᄀ ᅵ ᄇ ᅮ ᄂ ᅦ
아낄	ᄋ ᅡ ᄁ ᅵ ᆯ
값도	ᄀ ᅡ ᆸ ᄄ ᅩ
성공했다는	ᄉ ᅥ ᆼ ᄀ ᅩ ᆼ ᄒ ᅢ ᆮ ᄄ ᅡ ᄂ ᅳ ᆫ
누나네	ᄂ ᅮ ᄂ ᅡ ᄂ ᅦ
인사도	ᄋ ᅵ ᆫ ᄉ ᅡ ᄃ ᅩ
차려보고	ᄎ ᅡ ᄅ ᅧ ᄇ ᅩ ᄀ ᅩ
조언을	ᄌ ᅩ ᄋ ᅥ ᄂ ᅳ ᆯ
차린다고	ᄎ ᅡ ᄅ ᅵ ᆫ ᄃ ᅡ ᄀ ᅩ
접어버리게	ᄌ ᅥ ᄇ ᅥ ᄇ ᅥ ᄅ ᅵ ᄀ ᅦ
미영이랑	ᄆ ᅵ ᄋ ᅧ ᆼ ᄋ ᅵ ᄅ ᅡ ᆼ
잡아봐야겠네	ᄌ ᅡ ᄇ ᅡ ᄇ ᅪ ᄋ ᅣ ᄀ ᅦ ᆫ ᄂ ᅦ
얘기할까	ᄋ ᅤ ᄀ ᅵ ᄒ ᅡ ᆯ ᄁ ᅡ
식사라도	ᄉ ᅵ ᆨ ᄊ ᅡ ᄅ ᅡ ᄃ ᅩ
대접한다고	ᄃ ᅢ ᄌ ᅥ ᄑ ᅡ ᆫ ᄃ ᅡ ᄀ ᅩ
채식주의자라던데	ᄎ ᅢ ᄉ ᅵ ᆨ ᄍ ᅮ ᄋ ᅴ ᄌ ᅡ ᄅ ᅡ ᄃ ᅥ ᆫ ᄃ ᅦ
식당을	ᄉ ᅵ ᆨ ᄄ ᅡ ᆼ ᄋ ᅳ ᆯ
채식주의자라고	ᄎ ᅢ ᄉ ᅵ ᆨ ᄍ ᅮ ᄋ ᅴ ᄌ ᅡ ᄅ ᅡ ᄀ ᅩ
채식을	ᄎ ᅢ ᄉ ᅵ ᄀ ᅳ ᆯ
건강상	ᄀ ᅥ ᆫ ᄀ ᅡ ᆼ ᄉ ᅡ ᆼ
좋으셨나	ᄌ ᅩ ᄋ ᅳ ᄉ ᅧ ᆫ ᄂ ᅡ
연락해보고	ᄋ ᅧ ᆯ ᄅ ᅡ ᄏ ᅢ ᄇ ᅩ ᄀ ᅩ
연락줄게	ᄋ ᅧ ᆯ ᄅ ᅡ ᆨ ᄍ ᅮ ᆯ ᄀ ᅦ
재밌겠다고	ᄌ ᅢ ᄆ ᅵ ᆮ ᄁ ᅦ ᆮ ᄄ ᅡ ᄀ ᅩ
걱정하고	ᄀ ᅥ ᆨ ᄍ ᅥ ᆼ ᄒ ᅡ ᄀ ᅩ
똘똘했다고	ᄄ ᅩ ᆯ ᄄ ᅩ ᆯ ᄒ ᅢ ᆮ ᄄ ᅡ ᄀ ᅩ
기억난다고	ᄀ ᅵ ᄋ ᅥ ᆼ ᄂ ᅡ ᆫ ᄃ ᅡ ᄀ ᅩ
식당으로	ᄉ ᅵ ᆨ ᄄ ᅡ ᆼ ᄋ ᅳ ᄅ ᅩ
이동하면	ᄋ ᅵ ᄃ ᅩ ᆼ ᄒ ᅡ ᄆ ᅧ ᆫ
호점을	ᄒ ᅩ ᄌ ᅥ ᄆ ᅳ ᆯ
차릴까	ᄎ ᅡ ᄅ ᅵ ᆯ ᄁ ᅡ
중이라고	ᄌ ᅮ ᆼ ᄋ ᅵ ᄅ ᅡ ᄀ ᅩ
강가에	ᄀ ᅡ ᆼ ᄁ ᅡ ᄋ ᅦ
낼까	ᄂ ᅢ ᆯ ᄁ ᅡ
호점	ᄒ ᅩ ᄌ ᅥ ᆷ
노하우도	ᄂ ᅩ ᄒ ᅡ ᄋ ᅮ ᄃ ᅩ
전수	ᄌ ᅥ ᆫ ᄉ ᅮ
놀러오라고	ᄂ ᅩ ᆯ ᄅ ᅥ ᄋ ᅩ ᄅ ᅡ ᄀ ᅩ
네시까지	ᄂ ᅦ ᄉ ᅵ ᄁ ᅡ ᄌ ᅵ
세시까지	ᄉ ᅦ ᄉ ᅵ ᄁ ᅡ ᄌ ᅵ
차린다는	ᄎ ᅡ ᄅ ᅵ ᆫ ᄃ ᅡ ᄂ ᅳ ᆫ
철학관에	ᄎ ᅥ ᆯ ᄒ ᅡ ᆨ ᄁ ᅪ ᄂ ᅦ
점집	ᄌ ᅥ ᆷ ᄌ ᅵ ᆸ
점집이	ᄌ ᅥ ᆷ ᄌ ᅵ ᄇ ᅵ
철학관이야	ᄎ ᅥ ᆯ ᄒ ᅡ ᆨ ᄁ ᅪ ᄂ ᅵ ᄋ ᅣ
철학은	ᄎ ᅥ ᆯ ᄒ ᅡ ᄀ ᅳ ᆫ
철학이야	ᄎ ᅥ ᆯ ᄒ ᅡ ᄀ ᅵ ᄋ ᅣ
신점이랑은	ᄉ ᅵ ᆫ ᄌ ᅥ ᄆ ᅵ ᄅ ᅡ ᆼ ᄋ ᅳ ᆫ
시를	ᄉ ᅵ ᄅ ᅳ ᆯ
주역을	ᄌ ᅮ ᄋ ᅧ ᄀ ᅳ ᆯ
인간의	ᄋ ᅵ ᆫ ᄀ ᅡ ᄂ ᅴ
읽어주는	ᄋ ᅵ ᆯ ᄀ ᅥ ᄌ ᅮ ᄂ ᅳ ᆫ
사긴	ᄉ ᅡ ᄀ ᅵ ᆫ
사기야	ᄉ ᅡ ᄀ ᅵ ᄋ ᅣ
맞추기는	ᄆ ᅡ ᆮ ᄎ ᅮ ᄀ ᅵ ᄂ ᅳ ᆫ
개뿔	ᄀ ᅢ ᄈ ᅮ ᆯ
얘기했더니	ᄋ ᅤ ᄀ ᅵ ᄒ ᅢ ᆮ ᄄ ᅥ ᄂ ᅵ
무안하게	ᄆ ᅮ ᄋ ᅡ ᆫ ᄒ ᅡ ᄀ ᅦ
사먹고	ᄉ ᅡ ᄆ ᅥ ᆨ ᄁ ᅩ
답답한	ᄃ ᅡ ᆸ ᄄ ᅡ ᄑ ᅡ ᆫ
거기라도	ᄀ ᅥ ᄀ ᅵ ᄅ ᅡ ᄃ ᅩ
택시기사	ᄐ ᅢ ᆨ ᄊ ᅵ ᄀ ᅵ ᄉ ᅡ
탔는데	ᄐ ᅡ ᆫ ᄂ ᅳ ᆫ ᄃ ᅦ
강변북로	ᄀ ᅡ ᆼ ᄇ ᅧ ᆫ ᄇ ᅮ ᆼ ᄂ ᅩ
가달라	ᄀ ᅡ ᄃ ᅡ ᆯ ᄅ ᅡ
피식	ᄑ ᅵ ᄉ ᅵ ᆨ
길이라는	ᄀ ᅵ ᄅ ᅵ ᄅ ᅡ ᄂ ᅳ ᆫ
