씨	ᄊ ᅵ
전염병에	ᄌ ᅥ ᄂ ᅧ ᆷ ᄇ ᅧ ᆼ ᄋ ᅦ
알아봅시다	ᄋ ᅡ ᄅ ᅡ ᄇ ᅩ ᆸ ᄊ ᅵ ᄃ ᅡ
구제역	ᄀ ᅮ ᄌ ᅦ ᄋ ᅧ ᆨ
구제역으로	ᄀ ᅮ ᄌ ᅦ ᄋ ᅧ ᄀ ᅳ ᄅ ᅩ
비상	ᄇ ᅵ ᄉ ᅡ ᆼ
상황입니다	ᄉ ᅡ ᆼ ᄒ ᅪ ᆼ ᄋ ᅵ ᆷ ᄂ ᅵ ᄃ ᅡ
구제역은	ᄀ ᅮ ᄌ ᅦ ᄋ ᅧ ᄀ ᅳ ᆫ
전염성이	ᄌ ᅥ ᄂ ᅧ ᆷ ᄉ ᅥ ᆼ ᄋ ᅵ
방역	ᄇ ᅡ ᆼ ᄋ ᅧ ᆨ
당국이	ᄃ ᅡ ᆼ ᄀ ᅮ ᄀ ᅵ
골치를	ᄀ ᅩ ᆯ ᄎ ᅵ ᄅ ᅳ ᆯ
썩는	ᄊ ᅥ ᆼ ᄂ ᅳ ᆫ
전염성	ᄌ ᅥ ᄂ ᅧ ᆷ ᄉ ᅥ ᆼ
구제역이	ᄀ ᅮ ᄌ ᅦ ᄋ ᅧ ᄀ ᅵ
발생하면	ᄇ ᅡ ᆯ ᄉ ᅢ ᆼ ᄒ ᅡ ᄆ ᅧ ᆫ
교역이	ᄀ ᅭ ᄋ ᅧ ᄀ ᅵ
제한됩니다	ᄌ ᅦ ᄒ ᅡ ᆫ ᄃ ᅬ ᆷ ᄂ ᅵ ᄃ ᅡ
소나	ᄉ ᅩ ᄂ ᅡ
돼지도	ᄃ ᅫ ᄌ ᅵ ᄃ ᅩ
전파할	ᄌ ᅥ ᆫ ᄑ ᅡ ᄒ ᅡ ᆯ
구제역의	ᄀ ᅮ ᄌ ᅦ ᄋ ᅧ ᄀ ᅴ
완치는	ᄋ ᅪ ᆫ ᄎ ᅵ ᄂ ᅳ ᆫ
사용도	ᄉ ᅡ ᄋ ᅭ ᆼ ᄃ ᅩ
중단해야	ᄌ ᅮ ᆼ ᄃ ᅡ ᆫ ᄒ ᅢ ᄋ ᅣ
청정국으로	ᄎ ᅥ ᆼ ᄌ ᅥ ᆼ ᄀ ᅮ ᄀ ᅳ ᄅ ᅩ
인정받을	ᄋ ᅵ ᆫ ᄌ ᅥ ᆼ ᄇ ᅡ ᄃ ᅳ ᆯ
소와	ᄉ ᅩ ᄋ ᅪ
열병은	ᄋ ᅧ ᆯ ᄇ ᅧ ᆼ ᄋ ᅳ ᆫ
돼지만	ᄃ ᅫ ᄌ ᅵ ᄆ ᅡ ᆫ
걸리는	ᄀ ᅥ ᆯ ᄅ ᅵ ᄂ ᅳ ᆫ
급성	ᄀ ᅳ ᆸ ᄊ ᅥ ᆼ
열성	ᄋ ᅧ ᆯ ᄉ ᅥ ᆼ
전염병이에요	ᄌ ᅥ ᄂ ᅧ ᆷ ᄇ ᅧ ᆼ ᄋ ᅵ ᄋ ᅦ ᄋ ᅭ
병은	ᄇ ᅧ ᆼ ᄋ ᅳ ᆫ
돼지콜레라	ᄃ ᅫ ᄌ ᅵ ᄏ ᅩ ᆯ ᄅ ᅦ ᄅ ᅡ
전파	ᄌ ᅥ ᆫ ᄑ ᅡ
되는데	ᄃ ᅬ ᄂ ᅳ ᆫ ᄃ ᅦ
전염력이	ᄌ ᅥ ᄂ ᅧ ᆷ ᄂ ᅧ ᄀ ᅵ
치사율도	ᄎ ᅵ ᄉ ᅡ ᄋ ᅲ ᆯ ᄃ ᅩ
돼지에게만	ᄃ ᅫ ᄌ ᅵ ᄋ ᅦ ᄀ ᅦ ᄆ ᅡ ᆫ
질병이라	ᄌ ᅵ ᆯ ᄇ ᅧ ᆼ ᄋ ᅵ ᄅ ᅡ
구제역과	ᄀ ᅮ ᄌ ᅦ ᄋ ᅧ ᆨ ᄁ ᅪ
열병에	ᄋ ᅧ ᆯ ᄇ ᅧ ᆼ ᄋ ᅦ
고열과	ᄀ ᅩ ᄋ ᅧ ᆯ ᄀ ᅪ
설사	ᄉ ᅥ ᆯ ᄉ ᅡ
증세를	ᄌ ᅳ ᆼ ᄉ ᅦ ᄅ ᅳ ᆯ
보이다가	ᄇ ᅩ ᄋ ᅵ ᄃ ᅡ ᄀ ᅡ
죽어요	ᄌ ᅮ ᄀ ᅥ ᄋ ᅭ
전북	ᄌ ᅥ ᆫ ᄇ ᅮ ᆨ
경남에서	ᄀ ᅧ ᆼ ᄂ ᅡ ᄆ ᅦ ᄉ ᅥ
마지막이었죠	ᄆ ᅡ ᄌ ᅵ ᄆ ᅡ ᄀ ᅵ ᄋ ᅥ ᆮ ᄍ ᅭ
다행인	ᄃ ᅡ ᄒ ᅢ ᆼ ᄋ ᅵ ᆫ
백신이	ᄇ ᅢ ᆨ ᄊ ᅵ ᄂ ᅵ
걸리지	ᄀ ᅥ ᆯ ᄅ ᅵ ᄌ ᅵ
맞으면	ᄆ ᅡ ᄌ ᅳ ᄆ ᅧ ᆫ
수출에	ᄉ ᅮ ᄎ ᅮ ᄅ ᅦ
제한이	ᄌ ᅦ ᄒ ᅡ ᄂ ᅵ
걸리기에	ᄀ ᅥ ᆯ ᄅ ᅵ ᄀ ᅵ ᄋ ᅦ
대규모로	ᄃ ᅢ ᄀ ᅲ ᄆ ᅩ ᄅ ᅩ
투여하는	ᄐ ᅮ ᄋ ᅧ ᄒ ᅡ ᄂ ᅳ ᆫ
일본에서는	ᄋ ᅵ ᆯ ᄇ ᅩ ᄂ ᅦ ᄉ ᅥ ᄂ ᅳ ᆫ
열병이	ᄋ ᅧ ᆯ ᄇ ᅧ ᆼ ᄋ ᅵ
번지고	ᄇ ᅥ ᆫ ᄌ ᅵ ᄀ ᅩ
대응은	ᄃ ᅢ ᄋ ᅳ ᆼ ᄋ ᅳ ᆫ
가능하지만	ᄀ ᅡ ᄂ ᅳ ᆼ ᄒ ᅡ ᄌ ᅵ ᄆ ᅡ ᆫ
질병입니다	ᄌ ᅵ ᆯ ᄇ ᅧ ᆼ ᄋ ᅵ ᆷ ᄂ ᅵ ᄃ ᅡ
아프리카	ᄋ ᅡ ᄑ ᅳ ᄅ ᅵ ᄏ ᅡ
열병	ᄋ ᅧ ᆯ ᄇ ᅧ ᆼ
마주한	ᄆ ᅡ ᄌ ᅮ ᄒ ᅡ ᆫ
폭탄은	ᄑ ᅩ ᆨ ᄐ ᅡ ᄂ ᅳ ᆫ
이르게	ᄋ ᅵ ᄅ ᅳ ᄀ ᅦ
예방	ᄋ ᅨ ᄇ ᅡ ᆼ
백신이나	ᄇ ᅢ ᆨ ᄊ ᅵ ᄂ ᅵ ᄂ ᅡ
치료제도	ᄎ ᅵ ᄅ ᅭ ᄌ ᅦ ᄃ ᅩ
자체의	ᄌ ᅡ ᄎ ᅦ ᄋ ᅴ
생명력이	ᄉ ᅢ ᆼ ᄆ ᅧ ᆼ ᄂ ᅧ ᄀ ᅵ
강해	ᄀ ᅡ ᆼ ᄒ ᅢ
돼지의	ᄃ ᅫ ᄌ ᅵ ᄋ ᅴ
재앙이라고	ᄌ ᅢ ᄋ ᅡ ᆼ ᄋ ᅵ ᄅ ᅡ ᄀ ᅩ
불려요	ᄇ ᅮ ᆯ ᄅ ᅧ ᄋ ᅭ
대응책은	ᄃ ᅢ ᄋ ᅳ ᆼ ᄎ ᅢ ᄀ ᅳ ᆫ
감염지역	ᄀ ᅡ ᄆ ᅧ ᆷ ᄌ ᅵ ᄋ ᅧ ᆨ
근처의	ᄀ ᅳ ᆫ ᄎ ᅥ ᄋ ᅴ
살처분	ᄉ ᅡ ᆯ ᄎ ᅥ ᄇ ᅮ ᆫ
것뿐입니다	ᄀ ᅥ ᆮ ᄈ ᅮ ᄂ ᅵ ᆷ ᄂ ᅵ ᄃ ᅡ
숙주인	ᄉ ᅮ ᆨ ᄍ ᅮ ᄋ ᅵ ᆫ
죽어도	ᄌ ᅮ ᄀ ᅥ ᄃ ᅩ
멈추지	ᄆ ᅥ ᆷ ᄎ ᅮ ᄌ ᅵ
기본적으로	ᄀ ᅵ ᄇ ᅩ ᆫ ᄌ ᅥ ᄀ ᅳ ᄅ ᅩ
상온에서	ᄉ ᅡ ᆼ ᄋ ᅩ ᄂ ᅦ ᄉ ᅥ
개월	ᄀ ᅢ ᄋ ᅯ ᆯ
생존	ᄉ ᅢ ᆼ ᄌ ᅩ ᆫ
말린	ᄆ ᅡ ᆯ ᄅ ᅵ ᆫ
돼지고기에서	ᄃ ᅫ ᄌ ᅵ ᄀ ᅩ ᄀ ᅵ ᄋ ᅦ ᄉ ᅥ
기록	ᄀ ᅵ ᄅ ᅩ ᆨ
제거하기가	ᄌ ᅦ ᄀ ᅥ ᄒ ᅡ ᄀ ᅵ ᄀ ᅡ
힘들다는	ᄒ ᅵ ᆷ ᄃ ᅳ ᆯ ᄃ ᅡ ᄂ ᅳ ᆫ
얘기죠	ᄋ ᅤ ᄀ ᅵ ᄌ ᅭ
유럽에서	ᄋ ᅲ ᄅ ᅥ ᄇ ᅦ ᄉ ᅥ
지구상으로	ᄌ ᅵ ᄀ ᅮ ᄉ ᅡ ᆼ ᄋ ᅳ ᄅ ᅩ
확산됐어요	ᄒ ᅪ ᆨ ᄊ ᅡ ᆫ ᄃ ᅫ ᄊ ᅥ ᄋ ᅭ
러시아와	ᄅ ᅥ ᄉ ᅵ ᄋ ᅡ ᄋ ᅪ
중국으로	ᄌ ᅮ ᆼ ᄀ ᅮ ᄀ ᅳ ᄅ ᅩ
일월에는	ᄋ ᅵ ᄅ ᅯ ᄅ ᅦ ᄂ ᅳ ᆫ
몽골까지	ᄆ ᅩ ᆼ ᄀ ᅩ ᆯ ᄁ ᅡ ᄌ ᅵ
퍼져나갔습니다	ᄑ ᅥ ᄌ ᅥ ᄂ ᅡ ᄀ ᅡ ᆮ ᄊ ᅳ ᆷ ᄂ ᅵ ᄃ ᅡ
아프리카에서	ᄋ ᅡ ᄑ ᅳ ᄅ ᅵ ᄏ ᅡ ᄋ ᅦ ᄉ ᅥ
병	ᄇ ᅧ ᆼ
지역은	ᄌ ᅵ ᄋ ᅧ ᄀ ᅳ ᆫ
코앞까지	ᄏ ᅩ ᄋ ᅡ ᆸ ᄁ ᅡ ᄌ ᅵ
도착했죠	ᄃ ᅩ ᄎ ᅡ ᄏ ᅢ ᆮ ᄍ ᅭ
워낙	ᄋ ᅯ ᄂ ᅡ ᆨ
생명력	ᄉ ᅢ ᆼ ᄆ ᅧ ᆼ ᄂ ᅧ ᆨ
감염력이	ᄀ ᅡ ᄆ ᅧ ᆷ ᄂ ᅧ ᄀ ᅵ
강하다	ᄀ ᅡ ᆼ ᄒ ᅡ ᄃ ᅡ
의심되는	ᄋ ᅴ ᄉ ᅵ ᆷ ᄃ ᅬ ᄂ ᅳ ᆫ
루트도	ᄅ ᅮ ᄐ ᅳ ᄃ ᅩ
다양해요	ᄃ ᅡ ᄋ ᅣ ᆼ ᄒ ᅢ ᄋ ᅭ
중국에서	ᄌ ᅮ ᆼ ᄀ ᅮ ᄀ ᅦ ᄉ ᅥ
여행객	ᄋ ᅧ ᄒ ᅢ ᆼ ᄀ ᅢ ᆨ
식품이나	ᄉ ᅵ ᆨ ᄑ ᅮ ᄆ ᅵ ᄂ ᅡ
음식물은	ᄋ ᅳ ᆷ ᄉ ᅵ ᆼ ᄆ ᅮ ᄅ ᅳ ᆫ
의심의	ᄋ ᅴ ᄉ ᅵ ᄆ ᅴ
대상입니다	ᄃ ᅢ ᄉ ᅡ ᆼ ᄋ ᅵ ᆷ ᄂ ᅵ ᄃ ᅡ
팔년	ᄑ ᅡ ᆯ ᄅ ᅧ ᆫ
여행객이	ᄋ ᅧ ᄒ ᅢ ᆼ ᄀ ᅢ ᄀ ᅵ
가져온	ᄀ ᅡ ᄌ ᅥ ᄋ ᅩ ᆫ
돼지고기와	ᄃ ᅫ ᄌ ᅵ ᄀ ᅩ ᄀ ᅵ ᄋ ᅪ
만두에서	ᄆ ᅡ ᆫ ᄃ ᅮ ᄋ ᅦ ᄉ ᅥ
에이에스에프가	ᄋ ᅦ ᄋ ᅵ ᄋ ᅦ ᄉ ᅳ ᄋ ᅦ ᄑ ᅳ ᄀ ᅡ
과한	ᄀ ᅪ ᄒ ᅡ ᆫ
아니란	ᄋ ᅡ ᄂ ᅵ ᄅ ᅡ ᆫ
겨울	ᄀ ᅧ ᄋ ᅮ ᆯ
추위로	ᄎ ᅮ ᄋ ᅱ ᄅ ᅩ
멧돼지가	ᄆ ᅦ ᆮ ᄄ ᅫ ᄌ ᅵ ᄀ ᅡ
압록강을	ᄋ ᅡ ᆷ ᄂ ᅩ ᆨ ᄁ ᅡ ᆼ ᄋ ᅳ ᆯ
북한으로	ᄇ ᅮ ᄏ ᅡ ᄂ ᅳ ᄅ ᅩ
루	ᄅ ᅮ
트가	ᄐ ᅳ ᄀ ᅡ
우려도	ᄋ ᅮ ᄅ ᅧ ᄃ ᅩ
제기됐어요	ᄌ ᅦ ᄀ ᅵ ᄃ ᅫ ᄊ ᅥ ᄋ ᅭ
돌아다니면서	ᄃ ᅩ ᄅ ᅡ ᄃ ᅡ ᄂ ᅵ ᄆ ᅧ ᆫ ᄉ ᅥ
남긴	ᄂ ᅡ ᆷ ᄀ ᅵ ᆫ
배설물이	ᄇ ᅢ ᄉ ᅥ ᆯ ᄆ ᅮ ᄅ ᅵ
전파원이	ᄌ ᅥ ᆫ ᄑ ᅡ ᄋ ᅯ ᄂ ᅵ
되서	ᄃ ᅬ ᄉ ᅥ
전염이	ᄌ ᅥ ᄂ ᅧ ᄆ ᅵ
전염병의	ᄌ ᅥ ᄂ ᅧ ᆷ ᄇ ᅧ ᆼ ᄋ ᅴ
파도가	ᄑ ᅡ ᄃ ᅩ ᄀ ᅡ
끝날지는	ᄁ ᅳ ᆫ ᄂ ᅡ ᆯ ᄌ ᅵ ᄂ ᅳ ᆫ
당국의	ᄃ ᅡ ᆼ ᄀ ᅮ ᄀ ᅴ
방어	ᄇ ᅡ ᆼ ᄋ ᅥ
기원합니다	ᄀ ᅵ ᄋ ᅯ ᆫ ᄒ ᅡ ᆷ ᄂ ᅵ ᄃ ᅡ
삼겹살과	ᄉ ᅡ ᆷ ᄀ ᅧ ᆸ ᄊ ᅡ ᆯ ᄀ ᅪ
목살구이	ᄆ ᅩ ᆨ ᄊ ᅡ ᆯ ᄀ ᅮ ᄋ ᅵ
고기만두를	ᄀ ᅩ ᄀ ᅵ ᄆ ᅡ ᆫ ᄃ ᅮ ᄅ ᅳ ᆯ
소비자로서요	ᄉ ᅩ ᄇ ᅵ ᄌ ᅡ ᄅ ᅩ ᄉ ᅥ ᄋ ᅭ
트레비	ᄐ ᅳ ᄅ ᅦ ᄇ ᅵ
분수의	ᄇ ᅮ ᆫ ᄉ ᅮ ᄋ ᅴ
로마의	ᄅ ᅩ ᄆ ᅡ ᄋ ᅴ
분수에	ᄇ ᅮ ᆫ ᄉ ᅮ ᄋ ᅦ
동전을	ᄃ ᅩ ᆼ ᄌ ᅥ ᄂ ᅳ ᆯ
던져	ᄃ ᅥ ᆫ ᄌ ᅥ
행운	ᄒ ᅢ ᆼ ᄋ ᅮ ᆫ
연인과의	ᄋ ᅧ ᄂ ᅵ ᆫ ᄀ ᅪ ᄋ ᅴ
만남	ᄆ ᅡ ᆫ ᄂ ᅡ ᆷ
명소입니다	ᄆ ᅧ ᆼ ᄉ ᅩ ᄋ ᅵ ᆷ ᄂ ᅵ ᄃ ᅡ
동전의	ᄃ ᅩ ᆼ ᄌ ᅥ ᄂ ᅴ
소유권을	ᄉ ᅩ ᄋ ᅲ ᄀ ᅯ ᄂ ᅳ ᆯ
로마시와	ᄅ ᅩ ᄆ ᅡ ᄉ ᅵ ᄋ ᅪ
가톨릭	ᄀ ᅡ ᄐ ᅩ ᆯ ᄅ ᅵ ᆨ
교회	ᄀ ᅭ ᄒ ᅬ
벌어지고	ᄇ ᅥ ᄅ ᅥ ᄌ ᅵ ᄀ ᅩ
던지는	ᄃ ᅥ ᆫ ᄌ ᅵ ᄂ ᅳ ᆫ
동전이	ᄃ ᅩ ᆼ ᄌ ᅥ ᄂ ᅵ
관공서가	ᄀ ᅪ ᆫ ᄀ ᅩ ᆼ ᄉ ᅥ ᄀ ᅡ
싸울까요	ᄊ ᅡ ᄋ ᅮ ᆯ ᄁ ᅡ ᄋ ᅭ
놀라지	ᄂ ᅩ ᆯ ᄅ ᅡ ᄌ ᅵ
년이면	ᄂ ᅧ ᄂ ᅵ ᄆ ᅧ ᆫ
구억	ᄀ ᅮ ᄋ ᅥ ᆨ
지금까지는	ᄌ ᅵ ᄀ ᅳ ᆷ ᄁ ᅡ ᄌ ᅵ ᄂ ᅳ ᆫ
자선	ᄌ ᅡ ᄉ ᅥ ᆫ
기부받아	ᄀ ᅵ ᄇ ᅮ ᄇ ᅡ ᄃ ᅡ
자와	ᄌ ᅡ ᄋ ᅪ
가정을	ᄀ ᅡ ᄌ ᅥ ᆼ ᄋ ᅳ ᆯ
로마시의	ᄅ ᅩ ᄆ ᅡ ᄉ ᅵ ᄋ ᅴ
형편이	ᄒ ᅧ ᆼ ᄑ ᅧ ᄂ ᅵ
어려워지자	ᄋ ᅥ ᄅ ᅧ ᄋ ᅯ ᄌ ᅵ ᄌ ᅡ
시에서	ᄉ ᅵ ᄋ ᅦ ᄉ ᅥ
방안을	ᄇ ᅡ ᆼ ᄋ ᅡ ᄂ ᅳ ᆯ
떠올린	ᄄ ᅥ ᄋ ᅩ ᆯ ᄅ ᅵ ᆫ
사월부터는	ᄉ ᅡ ᄋ ᅯ ᆯ ᄇ ᅮ ᄐ ᅥ ᄂ ᅳ ᆫ
예산으로	ᄋ ᅨ ᄉ ᅡ ᄂ ᅳ ᄅ ᅩ
흡수해	ᄒ ᅳ ᆸ ᄊ ᅮ ᄒ ᅢ
문화재	ᄆ ᅮ ᆫ ᄒ ᅪ ᄌ ᅢ
보존	ᄇ ᅩ ᄌ ᅩ ᆫ
계획이라고	ᄀ ᅨ ᄒ ᅬ ᄀ ᅵ ᄅ ᅡ ᄀ ᅩ
발표했어요	ᄇ ᅡ ᆯ ᄑ ᅭ ᄒ ᅢ ᄊ ᅥ ᄋ ᅭ
분수는	ᄇ ᅮ ᆫ ᄉ ᅮ ᄂ ᅳ ᆫ
로마시가	ᄅ ᅩ ᄆ ᅡ ᄉ ᅵ ᄀ ᅡ
관리하니	ᄀ ᅪ ᆯ ᄅ ᅵ ᄒ ᅡ ᄂ ᅵ
동전도	ᄃ ᅩ ᆼ ᄌ ᅥ ᆫ ᄃ ᅩ
관리하겠다는	ᄀ ᅪ ᆯ ᄅ ᅵ ᄒ ᅡ ᄀ ᅦ ᆮ ᄄ ᅡ ᄂ ᅳ ᆫ
시가	ᄉ ᅵ ᄀ ᅡ
이들로부터	ᄋ ᅵ ᄃ ᅳ ᆯ ᄅ ᅩ ᄇ ᅮ ᄐ ᅥ
빼앗은	ᄈ ᅢ ᄋ ᅡ ᄉ ᅳ ᆫ
격	ᄀ ᅧ ᆨ
이라는	ᄋ ᅵ ᄅ ᅡ ᄂ ᅳ ᆫ
비난과	ᄇ ᅵ ᄂ ᅡ ᆫ ᄀ ᅪ
교회가	ᄀ ᅭ ᄒ ᅬ ᄀ ᅡ
권리는	ᄀ ᅯ ᆯ ᄅ ᅵ ᄂ ᅳ ᆫ
찬성	ᄎ ᅡ ᆫ ᄉ ᅥ ᆼ
엇갈리고	ᄋ ᅥ ᆮ ᄁ ᅡ ᆯ ᄅ ᅵ ᄀ ᅩ
섬	ᄉ ᅥ ᆷ
솟아오르다	ᄉ ᅩ ᄉ ᅡ ᄋ ᅩ ᄅ ᅳ ᄃ ᅡ
지난달	ᄌ ᅵ ᄂ ᅡ ᆫ ᄃ ᅡ ᆯ
아낙	ᄋ ᅡ ᄂ ᅡ ᆨ
크라카타우	ᄏ ᅳ ᄅ ᅡ ᄏ ᅡ ᄐ ᅡ ᄋ ᅮ
화산섬의	ᄒ ᅪ ᄉ ᅡ ᆫ ᄉ ᅥ ᄆ ᅴ
붕괴로	ᄇ ᅮ ᆼ ᄀ ᅬ ᄅ ᅩ
쓰나미가	ᄊ ᅳ ᄂ ᅡ ᄆ ᅵ ᄀ ᅡ
인도네시아	ᄋ ᅵ ᆫ ᄃ ᅩ ᄂ ᅦ ᄉ ᅵ ᄋ ᅡ
순다	ᄉ ᅮ ᆫ ᄃ ᅡ
해협	ᄒ ᅢ ᄒ ᅧ ᆸ
일대에서	ᄋ ᅵ ᆯ ᄃ ᅢ ᄋ ᅦ ᄉ ᅥ
죽고	ᄌ ᅮ ᆨ ᄁ ᅩ
다쳤어요	ᄃ ᅡ ᄎ ᅥ ᄊ ᅥ ᄋ ᅭ
가라앉았던	ᄀ ᅡ ᄅ ᅡ ᄋ ᅡ ᆫ ᄌ ᅡ ᆮ ᄄ ᅥ ᆫ
화산섬이	ᄒ ᅪ ᄉ ᅡ ᆫ ᄉ ᅥ ᄆ ᅵ
화산섬	ᄒ ᅪ ᄉ ᅡ ᆫ ᄉ ᅥ ᆷ
크라카타우는	ᄏ ᅳ ᄅ ᅡ ᄏ ᅡ ᄐ ᅡ ᄋ ᅮ ᄂ ᅳ ᆫ
대규모	ᄃ ᅢ ᄀ ᅲ ᄆ ᅩ
면이	ᄆ ᅧ ᄂ ᅵ
무너졌습니다	ᄆ ᅮ ᄂ ᅥ ᄌ ᅥ ᆮ ᄊ ᅳ ᆷ ᄂ ᅵ ᄃ ᅡ
높이가	ᄂ ᅩ ᄑ ᅵ ᄀ ᅡ
삼분의	ᄉ ᅡ ᆷ ᄇ ᅮ ᄂ ᅴ
백여	ᄇ ᅢ ᄀ ᅧ
미터로	ᄆ ᅵ ᄐ ᅥ ᄅ ᅩ
줄었고	ᄌ ᅮ ᄅ ᅥ ᆮ ᄁ ᅩ
분화구는	ᄇ ᅮ ᆫ ᄒ ᅪ ᄀ ᅮ ᄂ ᅳ ᆫ
바닷물	ᄇ ᅡ ᄃ ᅡ ᆫ ᄆ ᅮ ᆯ
가라앉았죠	ᄀ ᅡ ᄅ ᅡ ᄋ ᅡ ᆫ ᄌ ᅡ ᆮ ᄍ ᅭ
일월	ᄋ ᅵ ᄅ ᅯ ᆯ
정부에서는	ᄌ ᅥ ᆼ ᄇ ᅮ ᄋ ᅦ ᄉ ᅥ ᄂ ᅳ ᆫ
분화구가	ᄇ ᅮ ᆫ ᄒ ᅪ ᄀ ᅮ ᄀ ᅡ
솟아올랐	ᄉ ᅩ ᄉ ᅡ ᄋ ᅩ ᆯ ᄅ ᅡ ᆮ
현상은	ᄒ ᅧ ᆫ ᄉ ᅡ ᆼ ᄋ ᅳ ᆫ
처음이	ᄎ ᅥ ᄋ ᅳ ᄆ ᅵ
화산의	ᄒ ᅪ ᄉ ᅡ ᄂ ᅴ
이름은	ᄋ ᅵ ᄅ ᅳ ᄆ ᅳ ᆫ
크라카	ᄏ ᅳ ᄅ ᅡ ᄏ ᅡ
타우	ᄐ ᅡ ᄋ ᅮ
화산	ᄒ ᅪ ᄉ ᅡ ᆫ
팔월	ᄑ ᅡ ᄅ ᅯ ᆯ
대폭발을	ᄃ ᅢ ᄑ ᅩ ᆨ ᄈ ᅡ ᄅ ᅳ ᆯ
일으켰죠	ᄋ ᅵ ᄅ ᅳ ᄏ ᅧ ᆮ ᄍ ᅭ
화산이	ᄒ ᅪ ᄉ ᅡ ᄂ ᅵ
이가	ᄋ ᅵ ᄀ ᅡ
사라졌	ᄉ ᅡ ᄅ ᅡ ᄌ ᅥ ᆮ
거대	ᄀ ᅥ ᄃ ᅢ
발생했어요	ᄇ ᅡ ᆯ ᄉ ᅢ ᆼ ᄒ ᅢ ᄊ ᅥ ᄋ ᅭ
그로부터	ᄀ ᅳ ᄅ ᅩ ᄇ ᅮ ᄐ ᅥ
올라와	ᄋ ᅩ ᆯ ᄅ ᅡ ᄋ ᅪ
카타우라는	ᄏ ᅡ ᄐ ᅡ ᄋ ᅮ ᄅ ᅡ ᄂ ᅳ ᆫ
이름이	ᄋ ᅵ ᄅ ᅳ ᄆ ᅵ
붙었어요	ᄇ ᅮ ᄐ ᅥ ᄊ ᅥ ᄋ ᅭ
화산섬은	ᄒ ᅪ ᄉ ᅡ ᆫ ᄉ ᅥ ᄆ ᅳ ᆫ
미터씩	ᄆ ᅵ ᄐ ᅥ ᄊ ᅵ ᆨ
높아지다	ᄂ ᅩ ᄑ ᅡ ᄌ ᅵ ᄃ ᅡ
붕괴를	ᄇ ᅮ ᆼ ᄀ ᅬ ᄅ ᅳ ᆯ
일으켰고	ᄋ ᅵ ᄅ ᅳ ᄏ ᅧ ᆮ ᄁ ᅩ
또다시	ᄄ ᅩ ᄃ ᅡ ᄉ ᅵ
화산활동의	ᄒ ᅪ ᄉ ᅡ ᆫ ᄒ ᅪ ᆯ ᄃ ᅩ ᆼ ᄋ ᅴ
막대한	ᄆ ᅡ ᆨ ᄄ ᅢ ᄒ ᅡ ᆫ
계속해서	ᄀ ᅨ ᄉ ᅩ ᄏ ᅢ ᄉ ᅥ
지층을	ᄌ ᅵ ᄎ ᅳ ᆼ ᄋ ᅳ ᆯ
밀어	ᄆ ᅵ ᄅ ᅥ
올리고	ᄋ ᅩ ᆯ ᄅ ᅵ ᄀ ᅩ
도유승강	ᄃ ᅩ ᄋ ᅲ ᄉ ᅳ ᆼ ᄀ ᅡ ᆼ
경기순환	ᄀ ᅧ ᆼ ᄀ ᅵ ᄉ ᅮ ᆫ ᄒ ᅪ ᆫ
길	ᄀ ᅵ ᆯ
승	ᄉ ᅳ ᆼ
내릴	ᄂ ᅢ ᄅ ᅵ ᆯ
사자성어는	ᄉ ᅡ ᄌ ᅡ ᄉ ᅥ ᆼ ᄋ ᅥ ᄂ ᅳ ᆫ
일화라기보다는	ᄋ ᅵ ᆯ ᄒ ᅪ ᄅ ᅡ ᄀ ᅵ ᄇ ᅩ ᄃ ᅡ ᄂ ᅳ ᆫ
역사에서	ᄋ ᅧ ᆨ ᄊ ᅡ ᄋ ᅦ ᄉ ᅥ
깨달음입니다	ᄁ ᅢ ᄃ ᅡ ᄅ ᅳ ᄆ ᅵ ᆷ ᄂ ᅵ ᄃ ᅡ
해석하면	ᄒ ᅢ ᄉ ᅥ ᄏ ᅡ ᄆ ᅧ ᆫ
길에는	ᄀ ᅵ ᄅ ᅦ ᄂ ᅳ ᆫ
오르막길과	ᄋ ᅩ ᄅ ᅳ ᄆ ᅡ ᆨ ᄁ ᅵ ᆯ ᄀ ᅪ
내리막	ᄂ ᅢ ᄅ ᅵ ᄆ ᅡ ᆨ
뜻인데요	ᄄ ᅳ ᄉ ᅵ ᆫ ᄃ ᅦ ᄋ ᅭ
삶	ᄉ ᅡ ᆷ
흥망성쇠	ᄒ ᅳ ᆼ ᄆ ᅡ ᆼ ᄉ ᅥ ᆼ ᄉ ᅬ
융성할	ᄋ ᅲ ᆼ ᄉ ᅥ ᆼ ᄒ ᅡ ᆯ
때와	ᄄ ᅢ ᄋ ᅪ
쇠락할	ᄉ ᅬ ᄅ ᅡ ᄏ ᅡ ᆯ
의미합니다	ᄋ ᅴ ᄆ ᅵ ᄒ ᅡ ᆷ ᄂ ᅵ ᄃ ᅡ
관점은	ᄀ ᅪ ᆫ ᄌ ᅥ ᄆ ᅳ ᆫ
경제이론에도	ᄀ ᅧ ᆼ ᄌ ᅦ ᄋ ᅵ ᄅ ᅩ ᄂ ᅦ ᄃ ᅩ
경기순환입니다	ᄀ ᅧ ᆼ ᄀ ᅵ ᄉ ᅮ ᆫ ᄒ ᅪ ᄂ ᅵ ᆷ ᄂ ᅵ ᄃ ᅡ
